Year,Land purpose,Region,Value
2015,,Ukraine,5.5
2016,,Ukraine,5.7
2017,,Ukraine,5.1
2018,,Ukraine,5.0
2019,,Ukraine,4.2
2020,,Ukraine,3.6
2021,,Ukraine,2.9
2022,,Ukraine,2.2
2023,,Ukraine,1.9
2024,,Ukraine,1.8
2015,,11_reg_Vinnytsya,6.6
2016,,11_reg_Vinnytsya,6.6
2017,,11_reg_Vinnytsya,6.3
2018,,11_reg_Vinnytsya,6.2
2019,,11_reg_Vinnytsya,5.2
2020,,11_reg_Vinnytsya,4.1
2021,,11_reg_Vinnytsya,3.6
2022,,11_reg_Vinnytsya,3.9
2023,,11_reg_Vinnytsya,3.5
2024,,11_reg_Vinnytsya,4.2
2015,,12_reg_Volyn,6.8
2016,,12_reg_Volyn,7.9
2017,,12_reg_Volyn,5.8
2018,,12_reg_Volyn,6.0
2019,,12_reg_Volyn,4.9
2020,,12_reg_Volyn,3.6
2021,,12_reg_Volyn,3.0
2022,,12_reg_Volyn,1.9
2023,,12_reg_Volyn,1.9
2024,,12_reg_Volyn,1.7
2015,,13_reg_Dnipropetrovsk,7.7
2016,,13_reg_Dnipropetrovsk,5.7
2017,,13_reg_Dnipropetrovsk,5.4
2018,,13_reg_Dnipropetrovsk,5.3
2019,,13_reg_Dnipropetrovsk,5.0
2020,,13_reg_Dnipropetrovsk,4.1
2021,,13_reg_Dnipropetrovsk,3.5
2022,,13_reg_Dnipropetrovsk,3.2
2023,,13_reg_Dnipropetrovsk,3.2
2024,,13_reg_Dnipropetrovsk,3.2
2015,,14_reg_Donetsk,2.4
2016,,14_reg_Donetsk,2.6
2017,,14_reg_Donetsk,2.6
2018,,14_reg_Donetsk,2.9
2019,,14_reg_Donetsk,0.8
2020,,14_reg_Donetsk,1.6
2021,,14_reg_Donetsk,1.0
2022,,14_reg_Donetsk,0.0
2023,,14_reg_Donetsk,0.0
2024,,14_reg_Donetsk,0.0
2015,,15_reg_Zhytomyr,7.4
2016,,15_reg_Zhytomyr,6.5
2017,,15_reg_Zhytomyr,6.0
2018,,15_reg_Zhytomyr,6.0
2019,,15_reg_Zhytomyr,5.2
2020,,15_reg_Zhytomyr,4.1
2021,,15_reg_Zhytomyr,3.6
2022,,15_reg_Zhytomyr,3.7
2023,,15_reg_Zhytomyr,3.3
2024,,15_reg_Zhytomyr,3.1
2015,,16_reg_Zakarpattya,6.3
2016,,16_reg_Zakarpattya,10.4
2017,,16_reg_Zakarpattya,9.6
2018,,16_reg_Zakarpattya,9.5
2019,,16_reg_Zakarpattya,9.3
2020,,16_reg_Zakarpattya,6.7
2021,,16_reg_Zakarpattya,3.8
2022,,16_reg_Zakarpattya,1.8
2023,,16_reg_Zakarpattya,1.4
2024,,16_reg_Zakarpattya,0.0
2015,,17_reg_Zaporizhzhya,4.7
2016,,17_reg_Zaporizhzhya,5.1
2017,,17_reg_Zaporizhzhya,4.5
2018,,17_reg_Zaporizhzhya,4.7
2019,,17_reg_Zaporizhzhya,4.0
2020,,17_reg_Zaporizhzhya,3.3
2021,,17_reg_Zaporizhzhya,2.9
2022,,17_reg_Zaporizhzhya,2.0
2023,,17_reg_Zaporizhzhya,1.1
2024,,17_reg_Zaporizhzhya,0.4
2015,,18_reg_Ivano-Frankivsk,9.1
2016,,18_reg_Ivano-Frankivsk,8.6
2017,,18_reg_Ivano-Frankivsk,7.2
2018,,18_reg_Ivano-Frankivsk,7.7
2019,,18_reg_Ivano-Frankivsk,6.2
2020,,18_reg_Ivano-Frankivsk,4.9
2021,,18_reg_Ivano-Frankivsk,3.1
2022,,18_reg_Ivano-Frankivsk,2.6
2023,,18_reg_Ivano-Frankivsk,2.6
2024,,18_reg_Ivano-Frankivsk,2.5
2015,,19_reg_Kyiv,8.7
2016,,19_reg_Kyiv,9.1
2017,,19_reg_Kyiv,7.9
2018,,19_reg_Kyiv,8.0
2019,,19_reg_Kyiv,8.2
2020,,19_reg_Kyiv,6.8
2021,,19_reg_Kyiv,6.5
2022,,19_reg_Kyiv,5.0
2023,,19_reg_Kyiv,6.3
2024,,19_reg_Kyiv,6.0
2015,,20_reg_Kirovohrad,9.3
2016,,20_reg_Kirovohrad,5.7
2017,,20_reg_Kirovohrad,5.0
2018,,20_reg_Kirovohrad,5.6
2019,,20_reg_Kirovohrad,3.8
2020,,20_reg_Kirovohrad,2.8
2021,,20_reg_Kirovohrad,2.8
2022,,20_reg_Kirovohrad,2.2
2023,,20_reg_Kirovohrad,2.2
2024,,20_reg_Kirovohrad,2.3
2015,,21_reg_Luhansk,4.8
2016,,21_reg_Luhansk,4.4
2017,,21_reg_Luhansk,4.0
2018,,21_reg_Luhansk,4.0
2019,,21_reg_Luhansk,2.9
2020,,21_reg_Luhansk,2.3
2021,,21_reg_Luhansk,1.0
2022,,21_reg_Luhansk,0.0
2023,,21_reg_Luhansk,0.0
2024,,21_reg_Luhansk,0.0
2015,,22_reg_Lviv,3.5
2016,,22_reg_Lviv,3.6
2017,,22_reg_Lviv,1.8
2018,,22_reg_Lviv,3.3
2019,,22_reg_Lviv,3.0
2020,,22_reg_Lviv,2.4
2021,,22_reg_Lviv,1.8
2022,,22_reg_Lviv,1.7
2023,,22_reg_Lviv,1.5
2024,,22_reg_Lviv,1.2
2015,,23_reg_Mykolayiv,8.2
2016,,23_reg_Mykolayiv,7.1
2017,,23_reg_Mykolayiv,6.4
2018,,23_reg_Mykolayiv,6.2
2019,,23_reg_Mykolayiv,4.4
2020,,23_reg_Mykolayiv,3.5
2021,,23_reg_Mykolayiv,2.0
2022,,23_reg_Mykolayiv,1.6
2023,,23_reg_Mykolayiv,0.0
2024,,23_reg_Mykolayiv,0.0
2015,,24_reg_Odesa,2.1
2016,,24_reg_Odesa,2.5
2017,,24_reg_Odesa,1.7
2018,,24_reg_Odesa,2.2
2019,,24_reg_Odesa,1.6
2020,,24_reg_Odesa,2.6
2021,,24_reg_Odesa,2.1
2022,,24_reg_Odesa,2.1
2023,,24_reg_Odesa,1.4
2024,,24_reg_Odesa,1.9
2015,,25_reg_Poltava,2.6
2016,,25_reg_Poltava,6.0
2017,,25_reg_Poltava,4.6
2018,,25_reg_Poltava,4.5
2019,,25_reg_Poltava,4.5
2020,,25_reg_Poltava,3.2
2021,,25_reg_Poltava,3.5
2022,,25_reg_Poltava,3.0
2023,,25_reg_Poltava,3.0
2024,,25_reg_Poltava,4.0
2015,,26_reg_Rivne,6.6
2016,,26_reg_Rivne,8.1
2017,,26_reg_Rivne,6.6
2018,,26_reg_Rivne,6.5
2019,,26_reg_Rivne,5.9
2020,,26_reg_Rivne,4.8
2021,,26_reg_Rivne,3.2
2022,,26_reg_Rivne,3.1
2023,,26_reg_Rivne,2.4
2024,,26_reg_Rivne,2.5
2015,,27_reg_Sumy,5.2
2016,,27_reg_Sumy,4.5
2017,,27_reg_Sumy,5.1
2018,,27_reg_Sumy,4.1
2019,,27_reg_Sumy,3.7
2020,,27_reg_Sumy,4.2
2021,,27_reg_Sumy,3.0
2022,,27_reg_Sumy,2.6
2023,,27_reg_Sumy,0.2
2024,,27_reg_Sumy,0.4
2015,,28_reg_Ternopil,5.6
2016,,28_reg_Ternopil,7.0
2017,,28_reg_Ternopil,6.4
2018,,28_reg_Ternopil,6.4
2019,,28_reg_Ternopil,6.5
2020,,28_reg_Ternopil,4.6
2021,,28_reg_Ternopil,4.5
2022,,28_reg_Ternopil,4.3
2023,,28_reg_Ternopil,4.6
2024,,28_reg_Ternopil,3.4
2015,,29_reg_Kharkiv,5.2
2016,,29_reg_Kharkiv,5.3
2017,,29_reg_Kharkiv,4.9
2018,,29_reg_Kharkiv,3.4
2019,,29_reg_Kharkiv,3.2
2020,,29_reg_Kharkiv,2.4
2021,,29_reg_Kharkiv,1.1
2022,,29_reg_Kharkiv,1.3
2023,,29_reg_Kharkiv,0.1
2024,,29_reg_Kharkiv,0.0
2015,,30_reg_Kherson,7.0
2016,,30_reg_Kherson,5.9
2017,,30_reg_Kherson,6.7
2018,,30_reg_Kherson,10.3
2019,,30_reg_Kherson,5.5
2020,,30_reg_Kherson,4.5
2021,,30_reg_Kherson,4.1
2022,,30_reg_Kherson,0.0
2023,,30_reg_Kherson,0.0
2024,,30_reg_Kherson,0.0
2015,,31_reg_Khmelnytskiy,4.1
2016,,31_reg_Khmelnytskiy,6.2
2017,,31_reg_Khmelnytskiy,5.1
2018,,31_reg_Khmelnytskiy,3.2
2019,,31_reg_Khmelnytskiy,3.9
2020,,31_reg_Khmelnytskiy,3.2
2021,,31_reg_Khmelnytskiy,2.8
2022,,31_reg_Khmelnytskiy,2.7
2023,,31_reg_Khmelnytskiy,3.0
2024,,31_reg_Khmelnytskiy,3.3
2015,,32_reg_Cherkasy,4.1
2016,,32_reg_Cherkasy,7.1
2017,,32_reg_Cherkasy,7.1
2018,,32_reg_Cherkasy,4.9
2019,,32_reg_Cherkasy,5.5
2020,,32_reg_Cherkasy,4.5
2021,,32_reg_Cherkasy,4.0
2022,,32_reg_Cherkasy,3.7
2023,,32_reg_Cherkasy,3.5
2024,,32_reg_Cherkasy,3.3
2015,,33_reg_Chernivtsi,9.8
2016,,33_reg_Chernivtsi,8.5
2017,,33_reg_Chernivtsi,8.4
2018,,33_reg_Chernivtsi,8.6
2019,,33_reg_Chernivtsi,7.2
2020,,33_reg_Chernivtsi,6.0
2021,,33_reg_Chernivtsi,5.3
2022,,33_reg_Chernivtsi,3.5
2023,,33_reg_Chernivtsi,2.2
2024,,33_reg_Chernivtsi,2.2
2015,,34_reg_Chernihiv,14.0
2016,,34_reg_Chernihiv,21.3
2017,,34_reg_Chernihiv,17.5
2018,,34_reg_Chernihiv,10.3
2019,,34_reg_Chernihiv,2.8
2020,,34_reg_Chernihiv,2.8
2021,,34_reg_Chernihiv,1.6
2022,,34_reg_Chernihiv,1.5
2023,,34_reg_Chernihiv,1.6
2024,,34_reg_Chernihiv,0.0
2015,arable_land,Ukraine,5.5
2016,arable_land,Ukraine,5.7
2017,arable_land,Ukraine,5.1
2018,arable_land,Ukraine,5.0
2019,arable_land,Ukraine,4.2
2020,arable_land,Ukraine,3.6
2021,arable_land,Ukraine,2.9
2022,arable_land,Ukraine,2.2
2023,arable_land,Ukraine,1.9
2024,arable_land,Ukraine,1.8